@id,@lon,@lat,name,name:mk,name:en
367228725,21.4199761,41.9933865,,,
367228727,21.4199069,41.9932017,,,
367228729,21.4196607,41.9932527,,,
1867362594,21.4197300,41.9934375,,,
3629405143,21.5439696,41.3425820,Албимини,,
3629405144,21.5440836,41.3425689,Оскар Медикал,,
3629425809,21.5443259,41.3425192,,,
3629425810,21.5443208,41.3424054,,,
3629425811,21.5444172,41.3424030,,,
3629425812,21.5444223,41.3425168,,,
4403421389,21.5118808,41.8850235,Shpija në Vërtekic,Shpija në Vërtekic,
4598662194,21.4042016,41.9975719,Авицена Лабораторија,Авицена Лабораторија,Avicena Laboratory
6279112992,21.3806391,42.0263239,,,
6281485100,21.3284513,41.9997182,Dr. Xhoni Dental Clinic,,
6290121688,21.6522887,41.9875939,,,
6290121689,21.6522458,41.9874972,,,
6290121690,21.6521564,41.9875192,,,
6290121691,21.6521993,41.9876159,,,
6831648801,20.8055521,41.1101151,,,
6831648817,20.8046162,41.1129564,,,
6833103298,20.8083351,41.1131006,,,
8919434905,21.3423280,41.0399883,Лозановски,,
1000000032659970,21.4198183,41.9933196,Офтамолошки ласерски центар Др. Ристовски,,
1000000357822512,21.5443715,41.3424611,Алфа Мед,,
1000000671707232,21.6522225,41.9875565,,,
